suite	query	wallTimeP50	wallTimeMean	wallTimeStd	processCpuTimeP50	processCpuTimeMean	processCpuTimeStd	queryCpuTimeP50	queryCpuTimeMean	queryCpuTimeStd	status	error
file_formats	old	1103	1097	40	4136	3985	661	124	130	41	pass	
file_formats	merge-identity-filter-with-hot-id	1074	1074	114	3347	3464	805	275	243	64	pass	
